dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,midterm,class_weight,logistic_regression,2,0.6447876447876448,0.6140446521287642,0.726508521418701,0.6323058531087729,0.75,0.5357142857142857,3.809153778682676,-0.06372710273428428,0.6071577937271889
student-por,midterm,class_weight,random_forest,2,0.7953667953667953,0.7969387755102041,0.6747658529095655,0.7182911542122312,0.5,0.5882352941176471,2.8665626571176612,0.3975845645571473,0.7585585585585586
student-por,midterm,class_weight,xgboost,2,0.806949806949807,0.7541752869999935,0.8166781820973438,0.7787532755685622,0.775,0.6666666666666666,2.8432335173138408,0.40735002092871,0.6315312456900549
student-por,midterm,class_weight,mlp,2,0.44787644787644787,0.47836607836607836,0.5817058191309689,0.45175965600368784,0.65,0.4444444444444444,4.930109994308905,-0.7819127311037795,0.5085476164554431
student-por,midterm,smotenc,logistic_regression,1,0.6961538461538461,0.6519343229869546,0.7294665386208715,0.6766180118050693,0.775,0.6739130434782609,3.3696895542924565,0.1713543832792972,0.7107143587319358
student-por,midterm,smotenc,random_forest,1,0.8038461538461539,0.7748366013071896,0.7475360599555606,0.7556231641576039,0.575,0.6571428571428571,2.768469446629866,0.4406694715148851,0.7135897435897436
student-por,midterm,smotenc,xgboost,1,0.8115384615384615,0.7614617649995008,0.8361625804993786,0.7903313236373549,0.875,0.7526881720430108,2.7128611067681634,0.4629135785942705,0.6899795435942137
student-por,midterm,smotenc,mlp,1,0.5807692307692308,0.5494621540076086,0.6182719466726924,0.5650085015864885,0.725,0.6105263157894737,4.072775466435634,-0.21051448336428513,0.6052089679678357
student-por,midterm,smotenc,logistic_regression,2,0.640926640926641,0.5845725052381399,0.6467603255028406,0.6050111039410773,0.6,0.4948453608247423,3.7959539524691825,-0.05636762836730935,0.6682035834861965
student-por,midterm,smotenc,random_forest,2,0.7799227799227799,0.7323373793962028,0.6874980807615537,0.7041446331477389,0.425,0.5,3.0197228132273777,0.33149082360758486,0.7487773487773488
student-por,midterm,smotenc,xgboost,2,0.8301158301158301,0.7862606983261381,0.8008137571011823,0.7932607250600808,0.7,0.6829268292682927,2.6497614083602925,0.48526137937139546,0.6616949329735229
student-por,midterm,smotenc,mlp,2,0.4247104247104247,0.4384875231557153,0.5300015353907569,0.42501099487952754,0.65,0.3969465648854962,5.14143588254905,-0.9379477405189669,0.5300512854764923
student-por,midterm,random_oversampling,logistic_regression,1,0.6884615384615385,0.6530303883476923,0.7532783489624525,0.6766460515797887,0.8,0.6666666666666666,3.425161422361108,0.1438474748404357,0.6781276168931281
student-por,midterm,random_oversampling,random_forest,1,0.7961538461538461,0.7640690245377953,0.766438820472263,0.7645982026646679,0.75,0.7692307692307693,2.7321096385253423,0.4552649739518321,0.7006410256410256
student-por,midterm,random_oversampling,xgboost,1,0.8038461538461539,0.7544486030401524,0.8321705645313147,0.7840411808454913,0.875,0.7608695652173914,2.7422969036361304,0.4511950742338372,0.6583343001512381
student-por,midterm,random_oversampling,mlp,1,0.5,0.5209846650524617,0.6107021805445711,0.5129020065509402,0.725,0.5858585858585859,4.395364691266331,-0.4098693988612381,0.5364728926926078
student-por,midterm,random_oversampling,logistic_regression,2,0.6525096525096525,0.6092138539058868,0.7001688929832642,0.6312637717498671,0.7,0.5233644859813084,3.7687753917775404,-0.04129485875033212,0.638672783174386
student-por,midterm,random_oversampling,random_forest,2,0.7915057915057915,0.7519791404875598,0.7309419622293873,0.7404261704681874,0.625,0.625,2.91183180811744,0.37840747269704944,0.7458172458172458
student-por,midterm,random_oversampling,xgboost,2,0.8108108108108109,0.758787732860947,0.8250115154306771,0.7843767906306143,0.8,0.6808510638297872,2.8097664751341247,0.4212197995433934,0.641409948295608
student-por,midterm,random_oversampling,mlp,2,0.6447876447876448,0.6156473413569011,0.7000230308613542,0.6288859403410486,0.75,0.5042016806722689,3.9281677574286373,-0.13123612721595723,0.6323214887816762
student-por,late,none,logistic_regression,1,0.8153846153846154,0.8515802769100235,0.6750216548036003,0.7204106280193235,0.35,0.5,2.7575072355020493,0.445090224656845,0.7408609000442067
student-por,late,none,random_forest,1,0.9,0.9056935183516549,0.842002786879072,0.8689305897302741,0.7,0.7887323943661971,2.0265070365608824,0.700301005249037,0.8410256410256411
student-por,late,none,xgboost,1,0.9076923076923077,0.936903460837887,0.8396574774978346,0.876867534725816,0.675,0.8059701492537313,1.9312710043667336,0.7278079136878985,0.7830145955085754
student-por,late,none,mlp,1,0.6384615384615384,0.21364221364221367,0.3313373253493014,0.25978090766823164,0.0,0.0,3.7273676007028382,-0.013896224574259763,0.5378395757066926
student-por,late,none,logistic_regression,2,0.7953667953667953,0.8146046462063086,0.6494165515123599,0.701058201058201,0.4,0.5079365079365079,2.904197468210957,0.38166262482090363,0.7257596972254684
student-por,late,none,random_forest,2,0.8918918918918919,0.8681219919610013,0.8504068785505913,0.8588237751792643,0.7,0.7272727272727273,2.188730348978727,0.6487973915067686,0.8806949806949808
student-por,late,none,xgboost,2,0.8918918918918919,0.8846344809323982,0.8269806540764625,0.8513311886427591,0.625,0.704225352112676,2.188730348978727,0.6487973915067686,0.7943889102880559
student-por,late,none,mlp,2,0.6254826254826255,0.38047808764940233,0.3296906187624751,0.2726513252829042,0.025,0.047619047619047616,3.826094110054814,-0.07320950239942503,0.5438619785724353
student-por,late,class_weight,logistic_regression,1,0.7769230769230769,0.7303535762483131,0.8396650096034346,0.7621260420585784,0.875,0.7216494845360825,2.9487611479555795,0.36544649741677404,0.6800445205936564
student-por,late,class_weight,random_forest,1,0.9,0.914977638573085,0.8399587617218393,0.8685885304061639,0.675,0.7941176470588235,2.008635204464809,0.705563806608513,0.861025641025641
student-por,late,class_weight,xgboost,1,0.8961538461538462,0.8586545695284524,0.9162599329642601,0.8799629344847303,0.95,0.8,2.1240382438973318,0.6707591469511781,0.7167817327838678
student-por,late,class_weight,mlp,1,0.573076923076923,0.5456164473890451,0.64187850713667,0.5615801681218514,0.8,0.5871559633027523,4.170984941787178,-0.269598199960003,0.5623808044793122
student-por,late,class_weight,logistic_regression,2,0.7722007722007722,0.7239158690771594,0.8334600030707815,0.7539626204828166,0.825,0.6285714285714286,3.116774889895918,0.2878293266419747,0.6518531899463128
student-por,late,class_weight,random_forest,2,0.8687258687258688,0.8339514014405162,0.8257561799477967,0.8294733044733045,0.65,0.6753246753246753,2.4043477350183835,0.5761933463094978,0.8815958815958815
student-por,late,class_weight,xgboost,2,0.8687258687258688,0.8211253850199084,0.8726086288960541,0.8433712121212121,0.8,0.7272727272727273,2.3892455312282594,0.5815006595549124,0.7357077298247215
student-por,late,class_weight,mlp,2,0.3938223938223938,0.4283464283464283,0.46639413480730846,0.38741208414318423,0.375,0.36585365853658536,5.281917137616667,-1.0452969964295513,0.3960934853110098
student-por,late,smotenc,logistic_regression,1,0.7692307692307693,0.7212487832012237,0.7949892667495199,0.7488874761602035,0.85,0.7472527472527473,2.9392895530932432,0.3695163971347689,0.741489647163631
student-por,late,smotenc,random_forest,1,0.8807692307692307,0.8516696415290793,0.8553280231988852,0.8534705266013677,0.775,0.775,2.2146800428747473,0.6420593368708354,0.8350000000000001
student-por,late,smotenc,xgboost,1,0.8961538461538462,0.8714713399050749,0.8780307309908485,0.8738822039792914,0.85,0.8095238095238095,2.072484573571612,0.6865475510296063,0.7278791386347551
student-por,late,smotenc,mlp,1,0.5461538461538461,0.5179079120726717,0.5833399239257334,0.5283566084180255,0.675,0.5567010309278351,4.393723670453991,-0.4088168385893429,0.5018086612524727
student-por,late,smotenc,logistic_regression,2,0.806949806949807,0.7502056610989626,0.7830684784277598,0.7649784992489144,0.625,0.6024096385542169,2.8685823116592766,0.396735394437881,0.7188317353024098
student-por,late,smotenc,random_forest,2,0.8803088803088803,0.8399757674825424,0.8595846768002456,0.8492501282099391,0.725,0.7160493827160493,2.29906813420444,0.6124953689081333,0.8841698841698842
student-por,late,smotenc,xgboost,2,0.8687258687258688,0.8266698914128728,0.8491824044219255,0.837157804979341,0.725,0.7160493827160493,2.374047258607205,0.5868079728003269,0.748868512140738
student-por,late,smotenc,mlp,2,0.4749034749034749,0.4699362041467305,0.5609319821894672,0.4678229912654717,0.6,0.41379310344827586,4.783033883155452,-0.6771817497275991,0.562493327564688
student-por,late,random_oversampling,logistic_regression,1,0.8076923076923077,0.756172244410779,0.84500244793432,0.7878190263226911,0.85,0.7311827956989247,2.760469581011953,0.4438973230153638,0.7194270865108839
student-por,late,random_oversampling,random_forest,1,0.9115384615384615,0.8973493100944081,0.8798826874552782,0.8878093553304209,0.775,0.8157894736842105,1.9197856450856494,0.7310357651883772,0.8443589743589744
student-por,late,random_oversampling,xgboost,1,0.8961538461538462,0.8555555555555556,0.9205532331563289,0.8802508081162129,0.95,0.8,2.1240382438973318,0.6707591469511781,0.7264711086566632
student-por,late,random_oversampling,mlp,1,0.4807692307692308,0.49510056146141773,0.5878422400482055,0.4851960464863691,0.725,0.5272727272727272,4.726968454435757,-0.6306263732200603,0.47067736062438326
student-por,late,random_oversampling,logistic_regression,2,0.7992277992277992,0.7454086896709846,0.8171004145555044,0.7722493501810478,0.775,0.6526315789473685,2.9090127556192003,0.37961046369934337,0.6874517775968003
student-por,late,random_oversampling,random_forest,2,0.8764478764478765,0.8361801242236025,0.8595117457392906,0.8471845829569408,0.75,0.7317073170731707,2.308704361782996,0.609240216784279,0.8803088803088803
student-por,late,random_oversampling,xgboost,2,0.8687258687258688,0.8211253850199084,0.8726086288960541,0.8433712121212121,0.8,0.7272727272727273,2.3892455312282594,0.5815006595549124,0.7381483147273192
student-por,late,random_oversampling,mlp,2,0.6332046332046332,0.6034036256011839,0.7161062490403808,0.6215015047131836,0.75,0.5555555555555556,3.8171276269550276,-0.0681852458604324,0.5975955520053249
