schema_name,table_name,index_name,index_definition
public,paper_evaluation_metrics,paper_evaluation_metrics_pkey,CREATE UNIQUE INDEX paper_evaluation_metrics_pkey ON public.paper_evaluation_metrics USING btree (metric_id)
public,paper_learning_recommendations,paper_learning_recommendations_pkey,CREATE UNIQUE INDEX paper_learning_recommendations_pkey ON public.paper_learning_recommendations USING btree (recommendation_id)
public,paper_predictions,paper_predictions_pkey,CREATE UNIQUE INDEX paper_predictions_pkey ON public.paper_predictions USING btree (paper_prediction_id)
public,paper_runs,paper_runs_pkey,CREATE UNIQUE INDEX paper_runs_pkey ON public.paper_runs USING btree (paper_run_id)
public,source_dataset_versions,idx_source_dataset_versions_code,CREATE INDEX idx_source_dataset_versions_code ON public.source_dataset_versions USING btree (dataset_code)
public,source_dataset_versions,idx_source_dataset_versions_content_hash,"CREATE INDEX idx_source_dataset_versions_content_hash ON public.source_dataset_versions USING btree (hash_algorithm, content_hash)"
public,source_dataset_versions,source_dataset_versions_pkey,CREATE UNIQUE INDEX source_dataset_versions_pkey ON public.source_dataset_versions USING btree (dataset_version_id)
public,source_dataset_versions,uq_source_dataset_version_identity,"CREATE UNIQUE INDEX uq_source_dataset_version_identity ON public.source_dataset_versions USING btree (dataset_code, hash_algorithm, content_hash, ingestion_contract_hash_algorithm, ingestion_contract_hash)"
public,source_record_targets,idx_source_record_targets_dataset,"CREATE INDEX idx_source_record_targets_dataset ON public.source_record_targets USING btree (dataset_version_id, target_name)"
public,source_record_targets,pk_source_record_targets,"CREATE UNIQUE INDEX pk_source_record_targets ON public.source_record_targets USING btree (dataset_version_id, record_id, target_name)"
public,source_records,idx_source_records_dataset,CREATE INDEX idx_source_records_dataset ON public.source_records USING btree (dataset_version_id)
public,source_records,source_records_pkey,CREATE UNIQUE INDEX source_records_pkey ON public.source_records USING btree (record_id)
public,source_records,uq_source_records_dataset_record,"CREATE UNIQUE INDEX uq_source_records_dataset_record ON public.source_records USING btree (dataset_version_id, record_id)"
public,source_records,uq_source_records_dataset_row,"CREATE UNIQUE INDEX uq_source_records_dataset_row ON public.source_records USING btree (dataset_version_id, source_row_number)"
public,student_grades,idx_student_grades_dataset_row,"CREATE UNIQUE INDEX idx_student_grades_dataset_row ON public.student_grades USING btree (dataset_name, source_row_index)"
public,student_grades,student_grades_pkey,CREATE UNIQUE INDEX student_grades_pkey ON public.student_grades USING btree (grade_id)
public,students,idx_students_dataset_row,"CREATE UNIQUE INDEX idx_students_dataset_row ON public.students USING btree (dataset_name, source_row_index)"
public,students,students_pkey,CREATE UNIQUE INDEX students_pkey ON public.students USING btree (student_id)
